"Category","Service","AWS CLI Command"
"Media Services","AWS Elemental MediaTailor","aws mediatailor list-playback-configurations"
"Media Services","AWS Elemental MediaPackage","aws mediapackage list-channels"
"Media Services","AWS Elemental MediaConnect","aws mediaconnect list-flows"
"Media Services","AWS Elemental MediaLive","aws medialive list-channels"
"Media Services","Amazon Nimble Studio","aws nimble list-studios"
"Media Services","AWS Elemental Media Event Management (MEM)","[No AWS CLI Command Available]"
"Migration & Transfer","AWS Application Migration Services","aws mgn describe-source-servers"
"Migration & Transfer","AWS Mainframe Modernization","[No AWS CLI Command Available]"
"Mobile Services","Amazon API Gateway","aws apigateway get-rest-apis"
"Mobile Services","Amazon Pinpoint","aws pinpoint list-applications"
"Mobile Services","AWS Device Farm","aws devicefarm list-projects"
"Networking & Content Delivery","Amazon CloudFront","aws cloudfront list-distributions"
"Networking & Content Delivery","Amazon Route 53","aws route53 list-hosted-zones"
"Networking & Content Delivery","Amazon VPC","aws ec2 describe-vpcs"
"Networking & Content Delivery","AWS App Mesh","aws appmesh list-meshes"
"Networking & Content Delivery","AWS Cloud Map","aws servicediscovery list-namespaces"
"Networking & Content Delivery","AWS Cloud WAN","aws cloudwan list-global-networks"
"Networking & Content Delivery","AWS Direct Connect","aws directconnect describe-connections"
"Networking & Content Delivery","AWS Global Accelerator","aws globalaccelerator list-accelerators"
"Networking & Content Delivery","AWS Transit Gateway","aws ec2 describe-transit-gateways"
"Quantum Technologies","Amazon Braket","aws braket search-devices"
"Robotics","AWS RoboMaker","aws robomaker list-robots"
"Satellite","AWS Ground Station","aws groundstation list-configs"
"Security Identity & Compliance","Amazon Cognito","aws cognito-idp list-user-pools"
"Security Identity & Compliance","Amazon Detective","aws detective list-graphs"
"Security Identity & Compliance","Amazon GuardDuty","aws guardduty list-detectors"
"Security Identity & Compliance","Amazon Inspector","aws inspector2 list-findings"
"Security Identity & Compliance","Amazon Macie","aws macie2 list-classification-jobs"
"Security Identity & Compliance","Amazon Verified Permissions","[No AWS CLI Command Available]"
"Security Identity & Compliance","AWS Artifact","[No AWS CLI Command Available]"
"Security Identity & Compliance","AWS Audit Manager","aws auditmanager list-assessments"
"Security Identity & Compliance","AWS Certificate Manager","aws acm list-certificates"
"Security Identity & Compliance","AWS CloudHSM","aws cloudhsmv2 describe-clusters"
"Security Identity & Compliance","AWS Directory Service","aws ds describe-directories"
"Security Identity & Compliance","AWS Firewall Manager","aws fms list-policies"
"Security Identity & Compliance","AWS Key Management Service","aws kms list-keys"
"Security Identity & Compliance","AWS Network Firewall","aws network-firewall list-firewalls"
"Security Identity & Compliance","AWS Payment Cryptography","[No AWS CLI Command Available]"
"Security Identity & Compliance","AWS Secrets Manager","aws secretsmanager list-secrets"
"Security Identity & Compliance","AWS Security Hub","aws securityhub list-enabled-standards"
"Security Identity & Compliance","Amazon Security Lake","[No AWS CLI Command Available]"
"Security Identity & Compliance","AWS Shield","aws shield list-protections"
"Security Identity & Compliance","AWS WAF","aws wafv2 list-web-acls"
"Security Identity & Compliance","AWS Incident Detection and Response","[No AWS CLI Command Available]"
"Security Identity & Compliance","AWS Private Certificate Authority","aws acm-pca list-certificate-authorities"
"Serverless","Amazon EventBridge","aws events list-event-buses"
"Serverless","AWS Application Composer","[No AWS CLI Command Available]"
"Storage","Amazon Elastic Block Store","aws ec2 describe-volumes"
"Storage","Amazon Elastic File System","aws efs describe-file-systems"
"Storage","Amazon FSx for Lustre","aws fsx describe-file-systems"
"Storage","Amazon FSx for NetApp ONTAP","aws fsx describe-file-systems"
"Storage","Amazon FSx for Windows File Server","aws fsx describe-file-systems"
"Storage","Amazon FSx for OpenZFS","aws fsx describe-file-systems"
"Storage","Amazon S3","aws s3api list-buckets"
"Storage","AWS Backup","aws backup list-backup-vaults"
"Storage","AWS DataSync","aws datasync list-tasks"
"Storage","AWS Snowball","aws snowball list-jobs"
"Storage","AWS Snowcone","[No AWS CLI Command Available]"
"Storage","AWS Snowmobile","[No AWS CLI Command Available]"
"Storage","AWS Storage Gateway","aws storagegateway list-gateways"
"Storage","AWS Transfer Family","aws transfer list-servers"
